No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
462,抑制,4.8,1.166,5.4,1.855,91
494,典范,7.2,0.748,5.4,1.625,63
506,受惠,7,0,5.4,1.02,31
507,受伤,2.8,0.748,5.4,1.02,186
522,固执,3.4,0.49,5.4,1.96,41
526,奇特,5.4,0.49,5.4,0.49,71
529,幸运,7.2,0.748,5.4,0.49,166
531,忠,7,0.632,5.4,0.8,47
540,怕羞,4.2,0.4,5.4,1.356,4
547,承担,5.2,1.166,5.4,1.356,106
605,信心,7.4,0.8,5.4,0.49,419
607,信义,7,0.632,5.4,0.8,36
609,信誉,7,0,5.4,1.625,16
622,哀伤,2.4,0.49,5.4,1.96,24
623,哀愁,2.4,0.49,5.4,2.059,17
632,威严,5.4,1.02,5.4,0.49,19
659,挑剔,3.8,0.748,5.4,1.356,39
674,流泪,3.2,0.748,5.4,1.96,0
681,珍贵,7,0.632,5.4,1.356,174
683,珍藏,6.6,0.8,5.4,2.245,27
684,盼望,6.2,1.327,5.4,1.855,77
687,美人,6,0.632,5.4,1.855,40
718,倒楣,3.2,0.748,5.4,1.356,43
719,倒霉,3.2,0.748,5.4,1.356,11
730,唐突,3.6,0.49,5.4,1.02,0
762,栩栩如生,6.8,0.98,5.4,1.96,20
783,真相,6.4,1.02,5.4,1.497,119
811,臭气,3.6,0.49,5.4,1.855,9
816,虔诚,6.6,0.8,5.4,1.855,54
823,衷心,6.6,0.49,5.4,1.356,33
842,偏心,3.2,0.4,5.4,1.356,14
863,强,6.4,0.49,5.4,1.356,669
865,强壮,6.8,0.748,5.4,1.02,52
872,得意,5.8,0.98,5.4,1.356,151
880,情绪,4.6,0.8,5.4,0.8,526
889,敏捷,6.2,0.4,5.4,1.356,27
913,爽约,3.2,0.748,5.4,1.855,0
924,甜蜜,6.8,0.98,5.4,2.059,44
926,疏忽,3.4,0.49,5.4,1.02,70
927,疏漏,3.4,0.49,5.4,1.02,7
935,笨,3.4,0.49,5.4,1.356,90
956,贫苦,2.8,0.4,5.4,1.02,23
960,贪,3.2,0.4,5.4,1.625,62
962,贪生,3,0,5.4,1.497,0
1006,丧志,2.4,0.49,5.4,2.154,0
1015,富裕,7.4,0.49,5.4,1.855,132
1019,尊敬,7,1.095,5.4,1.497,115
1029,悲喜,4.4,0.8,5.4,1.356,0
1038,悲欢,4.8,0.4,5.4,1.744,0
1128,开朗,7.2,1.166,5.4,1.356,62
1136,传情,6.4,0.49,5.4,1.855,0
1153,傻笑,4,0.894,5.4,0.49,9
1154,势利,3.2,0.748,5.4,1.855,7
1161,想念,4.8,0.4,5.4,1.96,45
1168,爱护,7,0.632,5.4,1.356,72
1171,感伤,3.8,0.4,5.4,1.744,42
1205,烦,3.4,0.49,5.4,1.02,54
1221,罪,3,0,5.4,1.02,67
1249,过失,3,0.632,5.4,1.625,33
1278,荣幸,6.8,0.4,5.4,1.356,17
1287,疑心,3.2,0.4,5.4,0.8,0
1301,精疲力竭,3,0.894,5.4,1.96,12
1311,误会,3.2,0.4,5.4,1.744,45
1313,说谎,2.6,0.8,5.4,0.49,99
1335,僵硬,3.4,0.49,5.4,1.497,28
1352,忧患,3.2,0.4,5.4,1.2,6
1355,忧愁,2.8,0.4,5.4,1.02,21
1356,忧烦,3,0.632,5.4,0.8,0
1362,挚情,7.2,0.4,5.4,1.497,0
1382,乐园,6.4,0.49,5.4,1.356,161
1398,奖杯,7.4,0.49,5.4,1.356,11
1404,奖赏,6.6,0.49,5.4,1.356,13
1408,确信,6.2,0.748,5.4,1.497,24
1430,霉运,2.8,0.4,5.4,1.356,0
1466,兴趣,6.6,1.02,5.4,0.8,855
1491,优,6.8,0.4,5.4,1.356,19
1495,优美,6.8,0.4,5.4,1.497,132
1503,压抑,2.6,0.49,5.4,1.497,132
1539,鲜明,6.4,0.49,5.4,1.744,76
1540,鲜美,6.2,0.4,5.4,1.356,28
1550,坏人,3.4,0.49,5.4,1.02,105
1637,体面,6.4,0.49,5.4,0.8,19
1670,改革,6.2,0.98,5.4,1.2,671
1699,全力,5.8,0.75,5.4,1.36,170
1701,必要,5,0.63,5.4,1.36,471
1703,促进,6.2,0.98,5.4,1.02,380
1807,强大,6.2,0.75,5.4,1.02,172
1816,克服,5.2,1.17,5.4,1.2,189
1829,革新,6.2,0.4,5.4,1.62,59
1952,畅谈,5.8,0.4,5.4,1.02,22
1953,鼓掌,6.2,0.75,5.4,1.02,87
1978,赞许,6.6,0.49,5.4,1.02,17
1981,感人,6.2,0.4,5.4,1.2,54
2011,奋力,6.6,0.49,5.4,1.96,38
2031,热中,6.4,0.49,5.4,1.5,32
2035,为荣,7,0.63,5.4,1.36,30
2054,积极性,6.2,0.75,5.4,1.74,29
2157,恳求,4.6,0.8,5.4,1.02,12
2187,谈恋爱,6.2,0.4,5.4,1.5,47
2216,奋发,6.6,0.49,5.4,1.36,10
2220,义无反顾,5,0.63,5.4,1.85,9
2245,犯罪,2.4,0.8,5.4,1.02,197
2251,逮捕,4,1.79,5.4,1.85,119
2275,反弹,3.8,0.4,5.4,1.02,278
2281,歹徒,3,0,5.4,1.02,125
2282,起诉,3,0.63,5.4,0.49,33
2286,风暴,3.2,0.4,5.4,1.36,67
2308,命令,4.2,0.75,5.4,0.8,124
2312,作战,4,0.89,5.4,1.02,108
2334,罢工,4,0.63,5.4,0.8,68
2335,过度,4,0.63,5.4,1.36,150
2353,失事,2.6,0.8,5.4,1.62,14
2356,弹劾,3.4,0.49,5.4,1.36,7
2390,对立,3.4,0.49,5.4,0.49,107
2401,倒塌,3.2,0.75,5.4,0.8,8
2409,弊端,2.8,0.75,5.4,1.36,57
2431,丑闻,3.2,0.4,5.4,1.2,14
2445,倾销,3.8,0.75,5.4,0.49,9
2448,流氓,3.4,0.49,5.4,0.49,75
2457,惨重,2.6,0.49,5.4,0.8,26
2471,抹黑,3.2,0.75,5.4,1.02,15
2476,触犯,3.6,0.49,5.4,0.49,24
2487,擅自,3.6,0.49,5.4,0.49,21
2488,流血,3.6,0.49,5.4,0.49,64
2490,失利,3.4,0.49,5.4,1.36,26
2511,控诉,3.2,0.75,5.4,1.2,27
2533,瓦解,3.6,0.49,5.4,1.02,68
2546,分割,3.8,0.75,5.4,1.62,61
2548,阴谋,3.2,0.75,5.4,1.5,28
2555,告发,3.8,0.4,5.4,0.8,25
2557,扣留,3.4,0.49,5.4,0.49,7
2561,拖累,3.6,0.49,5.4,0.49,13
2573,拥挤,3.8,0.4,5.4,0.49,83
2599,动摇,4,0,5.4,0.8,61
2616,共犯,3,0.63,5.4,0.49,40
2647,有罪,3,0,5.4,0.8,15
2665,颠覆,5.2,0.4,5.4,1.62,48
2678,占据,4,1.1,5.4,0.49,47
2685,酒醉,3.4,0.8,5.4,1.36,12
2693,追逐,4.8,0.4,5.4,1.36,80
2700,口角,3.4,0.49,5.4,1.36,21
2726,捕捉,4.2,1.17,5.4,0.49,106
2758,扰乱,3.8,0.4,5.4,0.8,27
2789,猥亵,2.8,0.4,5.4,1.36,9
2790,野心,5.2,0.75,5.4,1.36,69
2799,铲除,4,1.1,5.4,0.8,20
2808,牲畜,3.4,1.463,5.4,2.939,13
2817,劝阻,5.3,1.077,5.4,1.772,18
2912,诱骗,3.1,0.663,5.4,1.2,0
3092,唯恐,3.6,0.374,5.4,0.583,27
3115,推诿,3.7,1.166,5.4,1.02,0
3163,被俘,3.1,0.663,5.4,0.8,9
3180,有礼,6.9,0.663,5.4,0.49,14
3183,窝心,7,0.707,5.4,0.8,9
3192,谈笑,6.9,1.02,5.4,1.594,17
3241,聪颖,7.5,0.894,5.4,0.49,0
3293,弊病,2.8,0.748,5.4,2.177,18
3316,纠缠,3,0.632,5.4,2.131,55
3335,撕毁,3.3,0.748,5.4,1.828,0
3364,内斗,2.7,0.678,5.4,1.985,0
3382,逃走,3.2,0.812,5.4,1.068,43
3409,安和乐利,7.3,0.748,5.4,0.583,0
3410,一帆风顺,7.4,0.8,5.4,0.86,14
3495,废寝忘食,4.9,0.97,5.4,1.068,0
3502,入迷,6.1,0.917,5.4,1.356,15
3521,日久生情,6.5,0.447,5.4,0.97,0
3576,处变不惊,5.9,0.894,5.4,0.962,5
3597,进化,6.4,0.742,5.4,1.517,31
3632,深植人心,6.5,1.323,5.4,1.342,7
3739,壅塞,2.6,0.894,5.4,1.342,17
3750,断线,2.3,1.304,5.4,1.517,4
3802,险峻,3.4,1.673,5.4,1.475,17
3876,看不惯,2.7,1.095,5.4,1.342,11
3877,看不过去,2.7,1.095,5.4,1.342,11
3908,充盈,6.3,0.447,5.4,0.962,0
3913,自恃,3.8,0.758,5.4,1.14,0
3980,愧对,3,0.707,5.4,1.14,0
4136,受用,7.6,0.962,5.4,0.962,20
4152,刚直,6.9,1.14,5.4,0.822,0
4203,行云流水,7.4,0.418,5.4,1.14,0
4290,上镜头,6.7,1.605,5.4,1.817,0
4311,凹凸不平,4.1,0.822,5.4,1.71,12
4419,逃掉,3.2,0.812,5.4,1.068,0
4438,筋疲力竭,3,0.894,5.4,1.96,5
4459,可信赖,7.2,0.4,5.4,1.497,0
4478,蠢人,3.4,0.49,5.4,1.356,0
4543,误入歧途,2.9,0.742,5.4,1.14,9
4549,犯贱,2.2,0.758,5.4,1.14,0
4612,引颈企盼,7,1.225,5.4,1.14,6
4646,死狗,1.1,0.224,5.4,0.894,0
4721,打屁股,4.2,1.304,5.4,2.302,0
4755,狠毒,2.7,1.037,5.4,0.962,5
4791,搞屁,4.2,0.758,5.4,1.782,0
4795,打烂,3.6,1.194,5.4,1.084,0
4828,胡作非为,3.1,0.548,5.4,1.636,4
4859,陷害,2.9,1.14,5.4,2.043,7
4932,匪夷所思,4.5,0.866,5.4,1.517,11
4942,烂车,2.7,0.975,5.4,1.673,0
5060,碍眼,2,0.707,5.4,2.074,6
5061,疯癫,1.4,0.548,5.4,2.302,0
5087,心狠手辣,2.7,1.304,5.4,1.517,0
5169,报应,2.5,1.414,5.4,2.302,10
5197,憋死,3.2,1.351,5.4,2.191,0
5274,逞威,3.8,0.447,5.4,1.14,0
5330,心有余悸,3.3,0.908,5.4,0.962,10
5355,搞政变,2.7,0.837,5.4,1.917,0
2806,陷阱,3.3,0.748,5.5,1.673,104
2851,损毁,3.4,0.49,5.5,1.183,10
2907,盗窃,3,0.548,5.5,0.894,0
2935,击溃,4.9,1.625,5.5,1.844,0
2963,快快乐乐,7.1,0.49,5.5,1.095,24
2974,英雄式,6.5,0.894,5.5,2.098,8
3052,横行,3.5,0.632,5.5,1,40
3129,偏颇,3.7,1.166,5.5,0.894,23
3142,用尽,4,0.894,5.5,1.414,32
3158,突如其来,4.8,0.748,5.5,1.265,14
3171,当心,5.1,1.114,5.5,1,11
3266,痴痴,6.1,0.8,5.5,1.414,0
3295,失明,2.1,1.428,5.5,2.864,18
3406,出人意表,6.4,0.583,5.5,1.183,9
3471,心满意足,7.3,0.748,5.5,1.342,18
3549,奢侈,3.4,1.194,5.5,0.5,35
3557,有过之而无不及,4.4,0.652,5.5,0.791,8
3627,劳民伤财,2.7,0.671,5.5,1.414,8
3690,超时,3.1,1.342,5.5,1.414,0
3799,忧喜参半,4.8,0.447,5.5,1.225,0
3911,白费,2.8,1.095,5.5,1.5,15
4063,名不虚传,7.5,0.866,5.5,1.5,0
4101,多虑,4.6,0.962,5.5,1.541,0
4149,负责任,7.7,0.975,5.5,0.354,94
4153,天花乱坠,3.2,0.447,5.5,1.225,4
4240,好用 ,6.8,0.758,5.5,1.414,48
4367,坑坑洞洞,3.7,0.758,5.5,1.581,0
4735,祸害,2.4,0.822,5.5,1.658,9
4833,贪生怕死,3.3,0.274,5.5,1.696,0
4855,硬逼,3.9,0.822,5.5,2.121,0
4878,祸国殃民,2.7,0.671,5.5,2.092,0
5052,凶猛,3.5,1.414,5.5,1.581,11
5053,凶猛,3.5,1.414,5.5,1.581,10
5094,由爱生恨,3.9,0.742,5.5,2.55,0
5127,尖酸刻薄,2.3,0.447,5.5,1.5,0
5218,踹开,4,0.612,5.5,1.581,0
5237,不择手段,2.9,0.894,5.5,1.5,16
5282,打碎,3.9,1.14,5.5,1.118,11
5285,男盗女娼,1.9,0.894,5.5,2.062,0
5385,乱吼,3.7,0.671,5.5,1.414,0
5406,逼问,3.3,0.908,5.5,0.791,7
5450,妖艳,5.8,1.681,5.5,1.225,0
5451,妖艳,5.8,1.681,5.5,1.225,0
5504,皱裂,2,0.707,5.5,0.866,0
5505,浓艳,5.8,1.304,5.5,0.707,0
5,不利,3.6,0.49,5.6,0.8,158
23,不当,3.4,0.8,5.6,1.2,178
43,无暇,3.6,1.356,5.6,1.2,20
54,丰富,6.8,0.748,5.6,1.02,674
59,支撑,5.6,1.02,5.6,1.855,117
60,付出,5.8,0.98,5.6,1.356,306
76,贡献,7.4,1.02,5.6,1.02,302
85,爱好,7,0,5.6,1.2,108
86,感谢,7.4,0.49,5.6,1.744,243
97,帮助,6.6,0.49,5.6,1.02,621
100,怀念,6,0.632,5.6,1.356,114
117,笨蛋,3,0,5.6,1.02,8
148,坦白,6,0.632,5.6,1.02,60
149,奉承,3.6,0.49,5.6,1.2,9
171,插嘴,3.6,0.49,5.6,1.497,9
189,庆典,6.6,0.49,5.6,1.497,49
197,谄媚,3.4,0.49,5.6,1.356,0
204,归咎,3.2,0.4,5.6,0.49,5
216,赞美,7,0.632,5.6,1.855,66
232,小偷,3.2,0.748,5.6,1.497,28
253,分歧,3.2,0.748,5.6,1.625,41
289,出色,7.2,0.4,5.6,1.497,65
308,失望,3,0.632,5.6,1.356,211
321,打扰,3.6,0.49,5.6,2.059,31
322,打搅,3.6,0.49,5.6,2.059,4
338,丢弃,3,1.095,5.6,1.96,37
367,收获,6.8,0.4,5.6,1.497,153
373,有害,3.4,0.49,5.6,1.02,49
376,有趣,7,0.632,5.6,1.497,394
382,死不,3.8,1.304,5.6,0.894,0
399,自信,7,0.632,5.6,1.02,98
429,吹毛求疵,3.2,0.4,5.6,0.8,4
448,屁眼,1.8,1.166,5.6,1.356,0
451,庇护,6.2,1.166,5.6,0.49,32
476,灾,2,0.894,5.6,1.744,44
493,依恋,5.6,1.356,5.6,1.855,13
495,刺眼,3.2,0.748,5.6,2.059,10
552,拉紧,5.2,0.4,5.6,0.8,0
574,欣赏,6.8,0.4,5.6,1.02,589
591,非难,3.2,0.4,5.6,0.8,0
598,局促,4,0,5.6,1.497,10
618,哀求,2.8,0.4,5.6,1.497,29
620,哀凄,2.6,0.8,5.6,2.154,0
628,哄骗,3.4,0.49,5.6,1.2,5
635,幽默,7,0,5.6,1.96,112
688,美好,6.8,0.4,5.6,1.356,275
690,美味,6.8,0.748,5.6,1.02,43
717,首创,5.4,0.8,5.6,2.059,37
721,值得,6.4,0.8,5.6,1.356,957
722,值钱,6.2,0.748,5.6,1.2,22
733,害怕,3.2,0.4,5.6,1.497,261
736,容忍,3.6,1.02,5.6,1.02,58
749,悔之,4.2,1.47,5.6,1.356,0
782,真心,7,0.894,5.6,2.059,44
784,真理,6.4,1.02,5.6,1.744,191
792,神经质,3.2,0.4,5.6,1.497,21
844,偏见,3.4,0.49,5.6,0.49,41
845,偏执,3.6,0.8,5.6,1.855,10
874,得罪,3.2,0.4,5.6,1.356,60
897,淘气,5.6,1.02,5.6,1.356,25
907,淹没,3.6,1.02,5.6,1.744,54
917,猜疑,3.2,0.4,5.6,0.8,17
929,眼花撩乱,4.4,0.8,5.6,2.417,34
930,眼花缭乱,4.4,0.8,5.6,2.417,0
939,粗俗,3,0.632,5.6,1.497,13
961,贪心,3,0,5.6,1.744,22
968,贪欲,3.6,0.49,5.6,1.744,0
1114,华丽,6.8,0.748,5.6,1.96,78
1144,伤神,3.4,0.49,5.6,2.059,0
1155,呜咽,2.6,0.8,5.6,1.855,8
1214,烦琐,3.6,0.49,5.6,1.497,5
1230,羡慕,6,1.414,5.6,0.49,114
1255,违纪,2.6,0.8,5.6,1.02,0
1256,违约,2.8,0.748,5.6,1.02,17
1266,厌烦,3,0.632,5.6,1.356,30
1282,满意,7.2,0.748,5.6,1.02,396
1288,疑神,3.8,0.748,5.6,1.02,0
1307,腐败,2.4,0.49,5.6,2.498,65
1312,误解,3.4,0.49,5.6,1.855,66
1318,轻视,3.2,0.748,5.6,1.356,34
1334,僵持,3.4,0.8,5.6,1.855,16
1341,妩媚,6.6,0.49,5.6,1.497,18
1342,嬉笑,5.8,1.6,5.6,1.497,6
1353,忧劳,3.6,0.49,5.6,1.02,0
1354,忧伤,3,0.632,5.6,1.02,20
1373,乐,6.6,0.49,5.6,1.2,151
1377,乐在其中,7,0,5.6,1.356,9
1400,奖金,7.6,0.49,5.6,1.02,243
1401,奖品,7.4,0.8,5.6,1.02,42
1405,奖学金,7.4,0.49,5.6,2.059,78
1420,质疑,3.6,1.02,5.6,0.8,227
1433,魅力,7.2,0.4,5.6,1.855,174
1441,拥抱,6.4,0.49,5.6,1.02,88
1444,操心,3.8,0.4,5.6,1.356,26
1451,机敏,7,0.632,5.6,1.497,4
1464,兴旺,6.8,0.4,5.6,1.497,16
1488,错误,3.2,0.748,5.6,1.02,265
1510,滥用,3,0.632,5.6,1.625,48
1534,亏损,3.2,0.748,5.6,1.855,57
1548,杂乱,3.6,0.49,5.6,1.497,20
1556,坏运,3,0,5.6,1.02,0
1557,宠爱,6.8,1.166,5.6,2.059,27
1569,难过,3,0.632,5.6,1.356,232
1570,难闻,3.6,0.49,5.6,1.02,6
1591,烂,2.8,0.748,5.6,1.356,93
1594,缠讼,3.6,0.49,5.6,1.96,9
1638,体贴,7,0.632,5.6,1.356,64
1646,赞,7.6,0.8,5.6,0.8,5
1667,重要,6,1.1,5.6,0.8,2990
1693,重视,5.6,0.8,5.6,0.49,873
1765,期待,6.2,0.4,5.6,1.02,289
1821,夺得,5.2,0.98,5.6,1.5,57
1941,不遗余力,6.2,0.75,5.6,1.5,36
2036,恭喜,6.8,0.4,5.6,1.02,70
2079,征服,5.2,0.4,5.6,1.36,53
2242,危机,3.2,0.4,5.6,1.5,541
2243,紧急,3.8,0.75,5.6,1.5,206
2261,绝对,5,0,5.6,1.5,524
2274,灾害,2.6,0.49,5.6,1.2,71
2346,废除,4.4,0.8,5.6,0.8,73
2395,灾难,3.2,0.4,5.6,0.8,118
2413,破产,3,0.63,5.6,1.5,72
2414,摆脱,4.4,1.36,5.6,0.49,124
2477,勾结,3.4,0.49,5.6,1.02,41
2501,瘫痪,2.8,0.75,5.6,1.5,30
2502,扣押,3.2,0.4,5.6,0.49,9
2505,倒闭,2.8,0.75,5.6,1.62,40
2522,击中,4.6,1.02,5.6,0.8,30
2531,泛滥,3.2,0.4,5.6,0.49,58
2537,贿赂,2.8,0.4,5.6,0.49,10
2559,战场,3.4,0.8,5.6,1.62,106
2569,哀悼,2.6,0.49,5.6,1.5,13
2571,暴雨,3.6,0.49,5.6,0.49,20
2588,血腥,2.8,0.4,5.6,0.49,18
2642,忍受,3.6,0.49,5.6,0.8,157
2675,牴触,4,0.63,5.6,1.02,18
2679,清算,3.8,0.75,5.6,1.36,10
2708,攻占,4.6,1.2,5.6,0.8,28
2734,遏制,4,1.1,5.6,0.8,0
2762,行窃,3,0,5.6,1.02,23
2765,专制,3.6,0.49,5.6,0.8,28
2779,屠宰,2.8,0.4,5.6,0.49,8
2811,犯规,3.5,0.447,5.6,1.497,18
2848,败北,3.4,0.8,5.6,1.356,14
2854,攻击性,3.4,0.374,5.6,1.655,0
2913,强盗罪,2.7,0.872,5.6,1.855,0
2976,满载而归,6.9,1.2,5.6,1.985,13
3111,咬伤,3.7,0.98,5.6,1.356,0
3195,道谢,7,0.894,5.6,1.625,28
3196,耐劳,6.3,0.4,5.6,1.356,14
3208,赏心悦目,6.8,0.4,5.6,1.356,17
3240,彬彬有礼,7.3,1.077,5.6,0.583,8
3254,圣洁,7.1,0.8,5.6,1.241,9
3320,闹事,2.9,0.86,5.6,1.772,0
3346,撕裂,2.7,0.6,5.6,1.985,16
3414,最高,7.2,1.327,5.6,1.744,0
3436,昌盛,7.1,1.114,5.6,0.8,0
3453,殷勤,6.3,0.6,5.6,1.53,0
3546,妙不可言,6.9,0.97,5.6,0.8,0
3596,周到,7.6,0.894,5.6,0.894,11
3604,晕倒,3.2,0.908,5.6,1.342,14
3727,标新立异,6.3,1.304,5.6,1.517,10
3738,鲁莽,2.7,1.095,5.6,1.14,0
3850,变糟,2.2,0.908,5.6,1.557,0
3926,爱戴,7.1,0.548,5.6,1.673,10
3971,萌,7.1,0.418,5.6,1.14,4
4004,出线,5.8,0.837,5.6,0.894,21
4109,居心叵测,2.4,0.962,5.6,1.475,0
4127,不慎,3.1,1.084,5.6,1.14,55
4211,堆积如山,3.3,1.037,5.6,0.652,10
4268,货真价实 ,7.8,0.908,5.6,1.517,13
4329,丢失,3,1.173,5.6,1.084,0
4332,先声夺人,4.6,0.822,5.6,0.962,0
4383,邪不胜正,7.7,1.396,5.6,0.652,0
4474,得罪人,3.2,0.4,5.6,1.356,0
4477,蠢蛋,3,0,5.6,1.02,0
4533,陷住,3.8,0.758,5.6,1.475,0
4541,卖国,2.7,1.095,5.6,1.557,0
4576,不可名状,6,1,5.6,1.342,0
4656,劫掠,2.4,1.14,5.6,1.517,4
4700,喝倒彩,2.4,1.14,5.6,2.104,0
4912,喋喋不休,3.8,1.037,5.6,2.074,7
4931,厚颜无耻,2.2,0.758,5.6,2.51,0
5031,挑逗,4.5,1.803,5.6,1.949,9
5059,威慑,4.1,0.894,5.6,1.673,0
5214,野蛮人,3,1.369,5.6,0.548,4
5260,挺而走险,4.2,1.304,5.6,2.535,0
5310,交媾,4.4,0.548,5.6,1.636,0
5390,痛哭,2.7,1.304,5.6,0.822,17
5391,恸哭,2.7,1.304,5.6,0.822,0
5449,死白,3.3,1.037,5.6,1.14,0
5507,黏闷,2.8,0.758,5.6,0.962,0
3106,束手无策,3.7,1.077,5.7,1.327,28
3112,堪虑,3.7,0.4,5.7,0.872,13
3113,告诫,4.3,0.4,5.7,1.077,23
3136,姑息,3.8,0.4,5.7,0.872,0
3214,幽默感,7,0.894,5.7,1.536,16
3384,自立自强,6.2,1.166,5.7,1.4,9
3431,颂扬,7.6,0.374,5.7,1.4,0
3530,自满,4.5,2.121,5.7,1.887,16
3559,粗制滥造,3.2,0.908,5.7,1.204,7
3563,阴霾,2.7,1.095,5.7,0.671,21
3592,跑不动,4,0.707,5.7,1.396,0
3783,撑不住,2.6,0.652,5.7,1.605,0
3790,远大,6.8,0.837,5.7,0.671,29
3791,瘙痒,4,0.612,5.7,1.44,0
3832,趋之若骛,5.5,1.225,5.7,1.565,0
3890,颠簸,3.6,0.418,5.7,1.204,7
3912,吃不消,3.1,0.418,5.7,1.204,14
3920,耗尽,3.7,1.037,5.7,1.483,15
3944,举足轻重,6.2,1.304,5.7,1.204,28
4081,狼狈,2.1,1.14,5.7,1.204,11
4082,狼狈不堪,2.1,1.14,5.7,1.204,4
4092,多汁,6.2,0.908,5.7,0.837,8
4225,略胜一筹 ,6.3,0.57,5.7,0.758,7
4750,惊醒,3.5,1.369,5.7,0.837,33
4848,挥霍,3.7,1.037,5.7,2.049,9
5124,惹怒,3.6,0.548,5.7,2.729,0
5244,烦死,2.7,1.204,5.7,1.204,0
5291,饿死,2.4,1.14,5.7,1.789,161
5387,死不瞑目,1.9,1.084,5.7,1.924,0
5388,耍狠,3.1,1.084,5.7,1.483,0
5472,干裂,2.5,0.935,5.7,1.151,0
5483,无眉怪,2.9,1.084,5.7,1.351,0
5489,涂不匀,3.4,1.084,5.7,1.151,0
2,不平,3.6,0.49,5.8,0.98,65
41,无情,2.6,1.02,5.8,2.4,79
50,嘻,6.6,0.8,5.8,0.98,8
72,玩,5.6,1.497,5.8,0.98,896
73,信任,7.8,0.748,5.8,1.47,207
79,喜欢,7,0.632,5.8,0.98,1993
80,丧失,2.6,0.49,5.8,1.6,196
99,谢谢,6.6,0.8,5.8,0.748,833
179,嘉奖,6.8,0.4,5.8,0.748,4
205,离婚,2.4,1.02,5.8,1.327,159
214,恋人,7,0,5.8,1.47,27
235,不仁,3,1.095,5.8,1.166,5
256,分裂,3.6,0.8,5.8,2.04,114
258,厄运,3,0.632,5.8,1.47,21
292,可口,6.4,0.49,5.8,0.98,39
303,外向,6,0.632,5.8,1.166,9
325,生命力,6.8,0.748,5.8,1.166,105
326,生气,5.4,1.625,5.8,1.47,283
329,生动,6.4,0.49,5.8,0.98,119
331,生厌,3.4,0.49,5.8,1.166,4
339,丢脸,3,0.632,5.8,1.6,22
345,光辉,6.6,0.49,5.8,1.166,60
354,好玩,6.2,0.4,5.8,1.166,145
383,死心,2.4,0.49,5.8,2.227,14
385,死气,3,0.632,5.8,1.72,0
439,妨碍,3.2,0.748,5.8,1.166,62
463,抑郁,2.4,0.8,5.8,1.939,12
473,沉重,3.2,0.4,5.8,0.98,54
487,走运,7,0.632,5.8,1.327,0
533,忠孝,7.4,1.2,5.8,1.166,38
534,忠诚,7.2,1.166,5.8,1.47,29
535,忠实,7,1.265,5.8,1.47,59
546,怪诞,3.4,0.49,5.8,1.166,6
553,抛弃,2.6,0.49,5.8,1.47,48
556,放弃,2.6,0.49,5.8,2.135,419
580,玩耍,6.2,0.748,5.8,1.47,40
589,非人,3.4,1.02,5.8,0.748,11
617,咯咯笑,6.4,0.49,5.8,1.166,0
638,怒不,3.8,0.837,5.8,1.095,0
649,思乡,3.8,0.748,5.8,0.748,15
662,挖苦,3.4,0.49,5.8,0.748,0
668,毒,2.8,0.748,5.8,0.98,102
678,珍奇,6.8,0.4,5.8,1.47,14
691,美梦,6.8,0.748,5.8,2.04,0
694,美丽,7.2,0.4,5.8,2.135,656
713,降级,3.6,0.49,5.8,2.04,0
714,面临,4.8,0.4,5.8,1.47,641
753,悔意,3,0,5.8,0.748,0
790,祝福,6.6,0.49,5.8,1.47,67
794,笑,6.8,0.748,5.8,0.98,683
858,娼妓,2.8,0.98,5.8,1.6,5
888,推崇,6.4,0.8,5.8,0.98,61
931,眼泪,3.4,0.8,5.8,0.98,0
964,贪求,3.2,0.4,5.8,1.166,0
967,贪图,3,0.632,5.8,1.939,16
984,胜过,6.2,0.748,5.8,0.748,51
994,喜怒无常,3.4,0.49,5.8,0.748,0
1060,景仰,6.8,0.4,5.8,0.748,11
1065,棒,6.8,0.748,5.8,1.47,86
1068,钦佩,7.2,0.4,5.8,0.98,27
1073,渴望,5.6,1.2,5.8,1.166,57
1092,无惧,5.8,1.47,5.8,1.166,5
1105,发臭,3.2,0.748,5.8,1.166,7
1107,盗,3,0.894,5.8,1.47,10
1134,乱,3.6,0.49,5.8,0.98,308
1147,伤残,2.8,0.748,5.8,0.98,32
1157,嫌,3,0.632,5.8,1.166,146
1166,爱情,7,0,5.8,1.6,241
1187,业障,3,0,5.8,1.72,12
1198,毁坏,3.2,0.4,5.8,0.748,21
1209,烦劳,3.2,0.4,5.8,1.6,0
1210,烦闷,3,0,5.8,1.47,19
1236,落空,3.4,0.8,5.8,1.6,20
1276,慷慨,6.8,0.98,5.8,0.748,35
1280,荣誉,7.6,0.8,5.8,1.47,110
1315,豪华,6.8,0.4,5.8,1.166,135
1337,唠叨,3.8,0.4,5.8,1.47,26
1425,遭受,3.6,0.8,5.8,0.748,92
1470,亲,6.6,0.8,5.8,1.6,39
1475,诺言,6.8,0.98,5.8,0.748,26
1484,遗弃,2.8,0.4,5.8,1.939,33
1567,难吃,3.4,0.8,5.8,1.72,10
1682,努力,6.8,0.75,5.8,1.47,1256
1831,奋斗,6.6,0.8,5.8,1.72,138
1843,得奖,7,0.63,5.8,1.72,62
1846,爱国,6.8,0.75,5.8,0.75,90
1970,夺冠,7,0,5.8,0.98,4
2025,遥遥领先,7,0.63,5.8,0.75,9
